,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,2,0,0,2,8,0,0,0,15,0,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
17,0,0,1,0,0,1,0,0,2,0,4,25,1,0,5,0,0,71,0,0,1,0,6,7,0,0,0,0,0,0,1,1,0,0,0,0,0,22,1,0
18,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,5,26,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,1,0,0,0,0,0,4,0,0,2,0,0,0,0,0,2,0,0,28,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,1,3,0,0,0,0,0,0,1,16,6,0,13,0,0,7,1,0,1,0,122,138,0,0,0,0,0,2,11,0,0,0,0,0,1,4,0,0
23,2,0,2,21,2,1,0,0,2,0,3,85,16,1,79,0,7,16,6,0,2,0,282,824,0,0,0,0,0,3,12,3,0,0,0,0,0,29,6,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,10,0,0,2,2,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
30,0,0,2,1,0,0,0,0,0,0,0,3,2,0,4,0,0,2,1,0,1,0,5,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,1,3,0,2,1,2,0,4,0,0,1,1,0,0,0,0,3,0,0,0,1,0,0,0,16,0,0,0,0,3,3,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
36,0,0,0,0,0,0,0,1,14,0,0,0,1,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,41,2,1,0
37,0,0,1,1,4,0,0,0,3,0,4,10,2,0,4,0,2,12,2,0,0,0,12,12,0,0,1,0,0,1,4,4,0,0,0,0,1,80,2,0
38,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,2,3,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
