accuracy,precision_macro,recall_macro_sensitivity,f1_macro,specificity_macro,fpr_macro,iou_macro,ppv_macro
0.5200811359026369,0.6055625520828956,0.5347924656832722,0.5568939124314831,0.9857087424879998,0.0142912575120001,0.42256170861062825,0.6055625520828956
0.5240365111561867,0.631977406790579,0.5277503207916265,0.5559370342026433,0.9858648109782202,0.0141351890217799,0.4230221834073121,0.631977406790579
0.527789046653144,0.6273975586875621,0.5289264588297902,0.5497954812021344,0.9859618067016236,0.014038193298376588,0.41587736116925883,0.6273975586875621
0.5224137931034483,0.6092524087586795,0.5287255769668093,0.5531376307562245,0.9857446247687719,0.014255375231228168,0.4199251095695127,0.6092524087586795
0.5219066937119675,0.6247856098695409,0.5294267457630955,0.5598840725344963,0.9857584147317908,0.014241585268209317,0.4227866003685083,0.6247856098695409
0.5215010141987829,0.5864548942866901,0.509952387928192,0.5342888810883599,0.985889823549129,0.014110176450870954,0.3996686267586792,0.5864548942866901
0.5164300202839757,0.615437300337226,0.5046966938056707,0.5386875214976683,0.985644547657453,0.014355452342546926,0.4018253206091634,0.615437300337226
0.5159229208924949,0.5539134394613171,0.4802026554496778,0.5006610134120745,0.9856792973297608,0.014320702670239074,0.3711180243602633,0.5539134394613171
0.5197768762677485,0.5902704812086818,0.49589160721828857,0.5245977153374504,0.9856984264260857,0.014301573573914284,0.39411195231808493,0.5902704812086818
0.5244421906693711,0.5898670213311288,0.5112937758508733,0.5329739608910632,0.9858823183859158,0.014117681614084143,0.40839517754024,0.5898670213311288
0.5151115618661257,0.5745501711983609,0.5051473904091912,0.5283823132767457,0.9856473128096572,0.014352687190342708,0.40087158388915345,0.5745501711983609
0.5190669371196754,0.5936690078121207,0.5114749559006057,0.5381075568685756,0.9856417049157045,0.014358295084295475,0.4103320260787367,0.5936690078121207
0.5139959432048682,0.6016273993566597,0.5256557193451818,0.5455232064415354,0.9855969924991651,0.01440300750083483,0.4210939169069553,0.6016273993566597
0.5260649087221095,0.6186878675910086,0.5032652636238806,0.5419860611678283,0.9860075835968496,0.013992416403150392,0.40415809530444846,0.6186878675910086
0.5172413793103449,0.5734429985439636,0.49562561954042766,0.5176205135610423,0.9856218745976435,0.014378125402356529,0.38908688969038396,0.5734429985439636
0.5253549695740365,0.5819471664071146,0.5218968041481407,0.5384554721447186,0.9859963692353448,0.01400363076465524,0.4056935618468172,0.5819471664071146
0.5193711967545639,0.6189118520913883,0.5293392628412207,0.5558798205186533,0.9856681268018554,0.014331873198144607,0.4242043665134189,0.6189118520913883
0.5202839756592292,0.5824999165019671,0.49414269254527465,0.5148668106080843,0.985755913553071,0.014244086446928877,0.3808475774435077,0.5824999165019671
0.5152129817444219,0.6104862891348635,0.5283434082923371,0.5541048788995856,0.9856774454792319,0.01432255452076813,0.41925680699362244,0.6104862891348635
0.5220081135902637,0.551255688359287,0.5018465799281883,0.5184501868936418,0.9858595790924575,0.014140420907542478,0.3890321518450054,0.551255688359287
0.5176470588235295,0.5912991982418719,0.5069637501577424,0.5305568340238065,0.9856970060570495,0.014302993942950464,0.39964626672960535,0.5912991982418719
0.5247464503042596,0.5928783362283019,0.5335975754901369,0.5532823239020395,0.9858000877485837,0.014199912251416254,0.4228937665803052,0.5928783362283019
0.5236308316430021,0.6164357849987804,0.5067659061701122,0.5368681487928862,0.9859465569628796,0.014053443037120522,0.40062598910508934,0.6164357849987804
0.5176470588235295,0.6023213385549809,0.5272905909916608,0.5512709629929975,0.9856663163374663,0.014333683662533559,0.41867648481957687,0.6023213385549809
0.513894523326572,0.5611489622915311,0.4951658656700345,0.515895170468624,0.9856126989269853,0.014387301073014575,0.38519218620031365,0.5611489622915311
0.5132860040567951,0.6124818014459924,0.5208086595317025,0.5449500417318068,0.9855361134069447,0.014463886593055341,0.4157977144050854,0.6124818014459924
0.5154158215010142,0.6157615672159966,0.5318323736727575,0.5562229224807123,0.9856589110452045,0.014341088954795609,0.42779727272998347,0.6157615672159966
0.5171399594320487,0.6198045846027117,0.525471081954332,0.5493582298542081,0.9856127510671066,0.014387248932893563,0.4167867567622038,0.6198045846027117
0.5176470588235295,0.5989428929038245,0.5196279000321418,0.5429869295901388,0.9856593938034302,0.014340606196569928,0.41325023534421196,0.5989428929038245
0.5136916835699797,0.5864734200453513,0.5141438322212479,0.5306423559959835,0.9855792062241793,0.014420793775820718,0.4066763628767502,0.5864734200453513
0.511866125760649,0.6131540033655893,0.521166400489585,0.5480229961956437,0.9854973977558086,0.014502602244191313,0.41922246687763176,0.6131540033655893
0.5231237322515213,0.5781959948828662,0.5076053170352908,0.5301586293491326,0.9857862081416204,0.014213791858379541,0.39863022339006976,0.5781959948828662
0.5233265720081136,0.6197713241072739,0.5149820607875791,0.5472884909967147,0.9858708884125413,0.014129111587458743,0.4099478891607739,0.6197713241072739
0.5192697768762677,0.5867372202628955,0.511526866726068,0.5315187012221617,0.9856491201513734,0.01435087984862663,0.4046239588462335,0.5867372202628955
0.5147058823529411,0.6117019295383084,0.5255484996008264,0.5520077521916991,0.9856607966690965,0.014339203330903622,0.42477284837851653,0.6117019295383084
0.5203853955375254,0.5871746330920266,0.5119725792601645,0.5371005716583735,0.9856918253753413,0.014308174624658837,0.40076860874387404,0.5871746330920266
0.5226166328600406,0.60523992658182,0.5028565531521256,0.5299094706368123,0.9858128529492935,0.014187147050706334,0.3968263081230748,0.60523992658182
0.5225152129817444,0.5841319229297612,0.5008958544173118,0.5255890936095812,0.9858356132933046,0.014164386706695365,0.3939876005464608,0.5841319229297612
0.5174442190669372,0.6174769257816208,0.5141055789986358,0.5459691761801213,0.9857315082140813,0.014268491785918653,0.40594546875041004,0.6174769257816208
0.5230223123732252,0.5768038835799334,0.5169117070989561,0.5337595121511082,0.9858477903086363,0.014152209691363804,0.40526532647043056,0.5768038835799334
0.5199797160243408,0.597320137028432,0.503842039497358,0.532656054871373,0.9857421483115172,0.01425785168848287,0.3933155942265063,0.597320137028432
0.5241379310344828,0.6032032315053859,0.5291956558253206,0.5470424947886918,0.9857552923516317,0.014244707648368193,0.4184134337685337,0.6032032315053859
0.5184584178498985,0.6033536338435189,0.5154897810044226,0.5441429035269384,0.9857160597525407,0.014283940247459182,0.41401617764783627,0.6033536338435189
0.517342799188641,0.5619837073170173,0.4916212209848817,0.5147553653595704,0.9855815471222478,0.01441845287775223,0.38909502743587276,0.5619837073170173
0.5213995943204868,0.5592457253101586,0.5108111552633225,0.5268119234599355,0.985901505507168,0.0140984944928319,0.4017136448391101,0.5592457253101586
0.5136916835699797,0.5639880334182793,0.47220213632103897,0.4977858595715981,0.9855401071023617,0.01445989289763826,0.3622804712783029,0.5639880334182793
