,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
13,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
14,0,0,1,0,0,0,0,0,0,0,4,20,8,8,21,0,2,8,1,0,4,0,10,29,0,0,0,2,1,1,1,2,0,0,0,0,1,6,1,1
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,0,0,1,0,0,0,0,0,0,0,0,4,8,0,0,0,20,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,0,0,2,1,1,0,2,1,1,0,5,14,1,0,0,3,2,83,1,0,2,0,5,0,0,0,0,0,0,1,4,1,0,0,0,0,8,9,2,0
18,0,0,0,1,0,0,0,0,0,0,1,4,1,0,0,0,1,4,28,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,25,0,3,3,1,0,0,0,0,1,1,0,1,0,0,0,1,2,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3,0,4,7,0,0,0,0,1,0,5,20,3,1,13,1,4,8,4,0,2,0,140,74,0,0,0,0,0,8,22,0,0,0,0,0,2,3,2,0
23,2,2,3,29,1,1,0,0,1,1,24,115,19,10,93,6,31,31,10,0,9,1,380,486,0,0,1,2,0,34,50,5,0,1,4,0,1,27,22,2
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
25,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,4,0,1,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
30,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,10,0,0,0,0,1,0,0,14,0,0,0,0,0,1,0,0,0
31,1,0,0,0,0,1,0,2,3,1,1,0,3,0,0,1,0,1,1,0,0,0,0,5,0,0,1,1,1,0,0,12,0,0,0,0,6,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
36,0,0,0,0,0,0,0,8,9,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,1,0,0,2,0,0,0,1,0,1,0,42,0,0,0
37,0,0,2,1,8,0,1,1,3,0,7,1,8,0,0,2,4,24,3,0,2,0,7,7,0,1,4,1,0,3,8,4,0,0,2,0,7,44,6,1
38,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,2,0,0,0,1,0,0,0,0,0,0,4,2,0
39,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
